review,rating,date,source,sentiment_label,sentiment_score,topics,emotion,aspect_sentiments,category
very good flick,5,2025-08-04 05:33:16,Google Play,POSITIVE,0.9998695850372314,['very good flick'],joy,{'very good flick': 'Positive'},review
"I have to admit it, I enjoy watching Apple TV and I can see it on my Android phone. I'm very satisfied with the service and the shows I watch. Thank you Apple TV and the way you are doing what no other network providers can do.",5,2025-08-04 05:27:12,Google Play,POSITIVE,0.9997687935829163,"['apple tv', 'my android phone', 'the service', 'apple tv', 'the way', 'no other network providers']",joy,"{'apple tv': 'Positive', 'my android phone': 'Neutral', 'the service': 'Positive', 'the way': 'Positive', 'no other network providers': 'Positive'}",review
"the app ux is pretty bad. it is not possible to download an entire season at once. player speed is 1x or 1.25x, no in between. if you switch between apps, the video stop working (but the sound doesn't). this is a bad app!",2,2025-08-04 04:25:30,Google Play,NEGATIVE,-0.999748170375824,"['the app ux', 'an entire season', 'player speed', 'apps', 'the sound', 'a bad app']",disgust,"{'the app ux': 'Negative', 'an entire season': 'Negative', 'player speed': 'Negative', 'apps': 'Negative', 'the sound': 'Negative', 'a bad app': 'Negative'}",review
"My purchased movies and shows aren't there. iPad has them, Android doesn't.",1,2025-08-04 03:40:23,Google Play,NEGATIVE,-0.9986453652381897,"['my purchased movies', 'shows', 'ipad', 'android']",neutral,"{'my purchased movies': 'Negative', 'shows': 'Negative', 'ipad': 'Positive', 'android': 'Negative'}",review
"this piece of rubbish won't even launch! after showing the logo, it goes completely blank screen!",1,2025-08-04 03:19:28,Google Play,NEGATIVE,-0.9998030066490173,"['this piece', 'rubbish', 'the logo', 'completely blank screen']",disgust,"{'this piece': 'Negative', 'rubbish': 'Negative', 'the logo': 'Negative', 'completely blank screen': 'Negative'}",review
cant get back in,1,2025-08-04 03:03:57,Google Play,NEGATIVE,-0.9630764722824097,[],neutral,{},review
absolutely terrible viewing experience barely able to play 10 seconds of video before it freezes up and stops working,1,2025-08-04 02:47:13,Google Play,NEGATIVE,-0.999721109867096,"['absolutely terrible viewing experience', '10 seconds', 'video']",fear,"{'absolutely terrible viewing experience': 'Negative', '10 seconds': 'Negative', 'video': 'Negative'}",review
HONEST AND GENUINE... GET OFF APPLE IMMEDIATELY...I JUST BINNED AN IPAD BECAUSE UPDATE LOCKED IT UP ABSOLUTELY AND COMPLETELY.... THIS COMPANY IS DOING THE LIGHT BULB CONSORTIUM SCAM ON ALL OF YOU... DO NOT EVER BUY APPLE. GENUINE WARNING ⚠️. bump this machine wreckers...<turning off comments in youtube shows you cxxts are hiding from angry users you have fxxxxd over,1,2025-08-04 01:14:41,Google Play,NEGATIVE,-0.7232333421707153,"['apple', 'an ipad', 'update', 'this company', 'the light bulb consortium scam', 'apple', 'this machine wreckers', 'comments', 'youtube', 'cxxts', 'angry users', 'fxxxxd']",anger,"{'apple': 'Negative', 'an ipad': 'Negative', 'update': 'Negative', 'this company': 'Negative', 'the light bulb consortium scam': 'Negative', 'this machine wreckers': 'Negative', 'comments': 'Negative', 'youtube': 'Negative', 'cxxts': 'Negative', 'angry users': 'Negative', 'fxxxxd': 'Negative'}",review
"Pelo visto esse app tem alzheime. Pelo menos uma vez por mês ele pede pra mim logar novamente, e isso é péssimo. Quando tento logar na minha conta apple, toda vez ela é bloqueada por algum motivo. Então isso é muito inconveniente.",2,2025-08-04 01:08:34,Google Play,NEGATIVE,-0.9962323307991028,"['pelo visto esse app tem alzheime', 'uma vez por mês', 'pra mim logar novamente', 'quando', 'logar', 'conta apple', 'toda vez ela é bloqueada por algum motivo', 'então isso é muito inconveniente']",anger,"{'pelo visto esse app tem alzheime': 'Negative', 'uma vez por mês': 'Negative', 'pra mim logar novamente': 'Negative', 'quando': 'Negative', 'logar': 'Negative', 'conta apple': 'Negative', 'toda vez ela é bloqueada por algum motivo': 'Negative', 'então isso é muito inconveniente': 'Negative'}",review
Android app freezes playback stops and buffers.,2,2025-08-04 00:41:58,Google Play,NEGATIVE,-0.999219536781311,"['android app', 'playback stops', 'buffers']",sadness,"{'android app': 'Negative', 'playback stops': 'Negative', 'buffers': 'Negative'}",review
Terrible App!!!!! I'm sick and tired of having to log into the app every single time! it's the only app I have that does that.. it gets so annoying!!!! I'm about the cancel service and illegally stream all the apple shows if I need to sign into the app every time!!!!! The captions always coming on is also very annoying!! Everytime I hit pause or go to the app the captions are on again. once they are turned off they should stay off unless I turn it on myself,1,2025-08-03 23:44:10,Google Play,NEGATIVE,-0.999667763710022,"['terrible app', 'the app', 'the only app', 'the cancel service', 'all the apple', 'the app', 'the captions', 'pause', 'the app', 'the captions']",fear,"{'terrible app': 'Negative', 'the app': 'Negative', 'the only app': 'Negative', 'the cancel service': 'Negative', 'all the apple': 'Negative', 'the captions': 'Negative', 'pause': 'Negative'}",review
It won't play any content.,1,2025-08-03 23:28:53,Google Play,NEGATIVE,-0.9991468191146851,['any content'],neutral,{'any content': 'Negative'},review
unusably buggy. INFURIATING,1,2025-08-03 23:17:10,Google Play,NEGATIVE,-0.9996618032455444,[],anger,{},bug_report
unable to subscribe to the application. and unable to watch free trial of this application,1,2025-08-03 23:12:02,Google Play,NEGATIVE,-0.9951462149620056,"['the application', 'free trial', 'this application']",sadness,"{'the application': 'Negative', 'free trial': 'Negative', 'this application': 'Negative'}",review
cannot cast. Blocked from casting to Android so as usual you have to buy their devices. They even block screen mirroring so you can't use a work around.,1,2025-08-03 22:50:31,Google Play,NEGATIVE,-0.999356210231781,"['android', 'their devices', 'screen mirroring', 'a work']",neutral,"{'android': 'Neutral', 'their devices': 'Negative', 'screen mirroring': 'Negative', 'a work': 'Negative'}",review
worst ott app. very limited content. no great movies or shows. useless App.,1,2025-08-03 22:35:04,Google Play,NEGATIVE,-0.9998067021369934,"['worst ott app', 'very limited content', 'no great movies', 'shows', 'useless app']",sadness,"{'worst ott app': 'Negative', 'very limited content': 'Negative', 'no great movies': 'Negative', 'shows': 'Negative', 'useless app': 'Negative'}",review
I have a movie collection in apple TV but I'm really disappointed that I can't watch my movies we pay for our movies we should be able to watch our movies on any phone.,1,2025-08-03 22:14:14,Google Play,NEGATIVE,-0.9995755553245544,"['a movie collection', 'apple tv', 'my movies', 'our movies', 'our movies', 'any phone']",sadness,"{'a movie collection': 'Neutral', 'apple tv': 'Neutral', 'my movies': 'Negative', 'our movies': 'Negative', 'any phone': 'Negative'}",review
for 2025 worst app I ever had and seeing in my life.,1,2025-08-03 21:39:30,Google Play,NEGATIVE,-0.9991130232810974,['my life'],disgust,{'my life': 'Negative'},review
Great and I will recommend it to a friend,5,2025-08-03 21:32:55,Google Play,POSITIVE,0.9998525381088257,['a friend'],joy,{'a friend': 'Positive'},review
Doesn't support casting. Useless.,1,2025-08-03 21:05:16,Google Play,NEGATIVE,-0.9998157620429993,[],disgust,{},review
paying for a subscription currently. but the app says I have to start a 7 day trial to watch anything. literally watching on my TV but can't on my phone cause apparently I'm not a member. please fix. other than that the app is enjoyable,1,2025-08-03 20:55:24,Google Play,POSITIVE,0.9898114204406738,"['a subscription', 'the app', 'a 7 day trial', 'my tv', 'my phone cause', 'a member', 'the app']",sadness,"{'a subscription': 'Positive', 'the app': 'Positive', 'a 7 day trial': 'Positive', 'my tv': 'Positive', 'my phone cause': 'Positive', 'a member': 'Negative'}",bug_report
"Excellent Apple+ television shows, especially their original presentations",5,2025-08-03 20:10:54,Google Play,POSITIVE,0.999839186668396,[],joy,{},review
needs to have an Amazon app.,1,2025-08-03 20:08:43,Google Play,NEGATIVE,-0.9991893172264099,['an amazon app'],neutral,{'an amazon app': 'Neutral'},review
"It never works. i have to sign in every single time I want to watch something and sometimes I can't even sign in, just ""a problem oucured try again later"" and this is on several different devices and platforms and browsers. So tired of it. canceled the subscription.",1,2025-08-03 19:50:09,Google Play,NEGATIVE,-0.9998146891593933,"['every single time', 'just ""a problem', 'several different devices', 'platforms', 'browsers', 'the subscription']",sadness,"{'every single time': 'Negative', 'just ""a problem': 'Negative', 'several different devices': 'Negative', 'platforms': 'Negative', 'browsers': 'Negative', 'the subscription': 'Negative'}",bug_report
can't watch in HD,3,2025-08-03 19:10:30,Google Play,NEGATIVE,-0.7085177302360535,[],sadness,{},review
constant stutters and freezes. does not matter if it's on WiFi or not.,1,2025-08-03 19:00:09,Google Play,NEGATIVE,-0.9991618394851685,"['constant stutters', 'freezes', 'wifi']",neutral,"{'constant stutters': 'Negative', 'freezes': 'Negative', 'wifi': 'Neutral'}",review
"doesn't play videos,it just shows flashing pixels",1,2025-08-03 18:51:40,Google Play,NEGATIVE,-0.9843325614929199,"['videos', 'pixels']",neutral,"{'videos': 'Negative', 'pixels': 'Negative'}",review
"Absolute rubbish. It fails at a) streaming, which stops every few seconds and b) downloading where downloads disappear at random during downloading and on completion. Trash.",1,2025-08-03 18:36:25,Google Play,NEGATIVE,-0.9998100399971008,"['absolute rubbish', 'streaming', 'downloads', 'completion', 'trash']",disgust,"{'absolute rubbish': 'Negative', 'streaming': 'Negative', 'downloads': 'Negative', 'completion': 'Negative', 'trash': 'Negative'}",review
"MF,,hrz 6a,,2",3,2025-08-03 18:05:32,Google Play,NEGATIVE,-0.9749499559402466,[],neutral,{},review
if I could put a ZERO i would,1,2025-08-03 17:52:09,Google Play,NEGATIVE,-0.9986176490783691,[],sadness,{},review
All the content is very good but whenever I play any movie or series the screen goes dark and bright every few minutes. Is it because I am using an android and not an apple phone? If that issue is resolved I will leave a 5 star for sure.,3,2025-08-03 16:25:37,Google Play,NEGATIVE,-0.9704414010047913,"['all the content', 'any movie', 'series', 'the screen', 'an android', 'not an apple phone', 'that issue', 'a 5 star']",neutral,"{'all the content': 'Positive', 'any movie': 'Neutral', 'series': 'Neutral', 'the screen': 'Negative', 'an android': 'Negative', 'not an apple phone': 'Neutral', 'that issue': 'Negative', 'a 5 star': 'Positive'}",bug_report
not expected from apple app is freezing with error that close the app then I understand that apple hate android phone,1,2025-08-03 15:17:24,Google Play,NEGATIVE,-0.9990022778511047,"['apple app', 'error', 'the app', 'apple', 'android phone']",sadness,"{'apple app': 'Negative', 'error': 'Negative', 'the app': 'Negative', 'apple': 'Negative', 'android phone': 'Negative'}",bug_report
"does not let you access purchases or library, useless. please fix.",1,2025-08-03 15:09:29,Google Play,NEGATIVE,-0.997994065284729,"['purchases', 'library']",sadness,"{'purchases': 'Neutral', 'library': 'Negative'}",bug_report
"My watch list is full of excellent, original shows! The only thing wrong is that I don't have enough free time to watch them all.",5,2025-08-03 14:49:43,Google Play,POSITIVE,0.9755337834358215,"['my watch list', 'excellent, original shows', 'the only thing', 'enough free time']",neutral,"{'my watch list': 'Positive', 'excellent, original shows': 'Positive', 'the only thing': 'Positive', 'enough free time': 'Negative'}",review
exceptional,5,2025-08-03 13:48:42,Google Play,POSITIVE,0.9998514652252197,[],neutral,{},review
I don't I don't know I don't even know how to download really but I think they do though I haven't watched it yet but I'll let you know,4,2025-08-03 13:39:00,Google Play,POSITIVE,0.9970801472663879,[],neutral,{},review
"good content, lousy app",2,2025-08-03 12:19:39,Google Play,POSITIVE,0.999212384223938,"['good content', 'lousy app']",sadness,"{'good content': 'Positive', 'lousy app': 'Negative'}",review
it's only an Apple TV+ App. iTunes / Apple TV is allowed for Apple iPad Users only (monopolism?),1,2025-08-03 12:06:14,Google Play,NEGATIVE,-0.997784435749054,"['an apple', 'itunes / apple tv', 'apple ipad users']",neutral,"{'an apple': 'Neutral', 'itunes / apple tv': 'Negative', 'apple ipad users': 'Negative'}",review
Garbage. Won't let me sign in without having my other Apple device next to me. why is there no option to use an Authenticator app like others? Won't even show me option to receive code via text.,1,2025-08-03 09:11:10,Google Play,NEGATIVE,-0.999405026435852,"['garbage', 'my other apple device', 'no option', 'an authenticator app', 'option', 'code', 'text']",anger,"{'garbage': 'Negative', 'my other apple device': 'Neutral', 'no option': 'Negative', 'an authenticator app': 'Negative', 'option': 'Negative', 'code': 'Negative', 'text': 'Neutral'}",review
I love it when I say no caption and yet the caption still comes up. Its not like this is a 3 billion dollar company or any thing.,1,2025-08-03 09:00:44,Google Play,POSITIVE,0.9957641363143921,"['no caption', 'the caption', 'a 3 billion dollar company', 'any thing']",joy,"{'no caption': 'Neutral', 'the caption': 'Positive', 'a 3 billion dollar company': 'Negative', 'any thing': 'Negative'}",review
junk,1,2025-08-03 08:47:09,Google Play,NEGATIVE,-0.9997907280921936,['junk'],neutral,{'junk': 'Negative'},review
"God this app is so terrible, the brightness and aspect ratio keep changing within the app it's freaking unplayable. I wasn't even 1 minute into Severance and it kept changing around visually! It needs to be fixed, this isn't a device error as you can see with all the other reviews. Fix your app!",1,2025-08-03 08:26:29,Google Play,NEGATIVE,-0.9968229532241821,"['this app', 'the brightness', 'aspect ratio', 'the app', 'freaking unplayable', 'severance', 'a device error', 'all the other reviews', 'your app']",disgust,"{'this app': 'Negative', 'the brightness': 'Negative', 'aspect ratio': 'Negative', 'the app': 'Negative', 'freaking unplayable': 'Negative', 'severance': 'Negative', 'a device error': 'Negative', 'all the other reviews': 'Negative', 'your app': 'Negative'}",bug_report
"is Karate Kid Legends, Twisted Metal available on Apple TV",3,2025-08-03 08:04:53,Google Play,NEGATIVE,-0.8671708106994629,"['karate kid legends', 'apple tv']",neutral,"{'karate kid legends': 'Neutral', 'apple tv': 'Neutral'}",review
refreshing stories,5,2025-08-03 07:31:26,Google Play,POSITIVE,0.9998713731765747,['refreshing stories'],surprise,{'refreshing stories': 'Positive'},review
nice... so great.,5,2025-08-03 06:52:11,Google Play,POSITIVE,0.9998745918273926,[],joy,{},review
"It has great original shows. However, my main issue is that the app has some technical issues in Android devices (in my case, a Samsung tab and a Samsung phone). The problem is that the color filter seems to be malfunctioning, and it fluctuates between what seems to be the original colors and a yellowish filter (and it mostly stays in the yellow filter). This really affects the watching experience negatively.",3,2025-08-03 06:49:06,Google Play,NEGATIVE,-0.9989570379257202,"['great original shows', 'my main issue', 'the app', 'some technical issues', 'android devices', 'my case', 'a samsung phone', 'the problem', 'the color filter', 'the original colors', 'a yellowish filter', 'the yellow filter', 'the watching experience']",neutral,"{'great original shows': 'Positive', 'my main issue': 'Negative', 'the app': 'Negative', 'some technical issues': 'Negative', 'android devices': 'Neutral', 'my case': 'Negative', 'a samsung phone': 'Neutral', 'the problem': 'Negative', 'the color filter': 'Negative', 'the original colors': 'Negative', 'a yellowish filter': 'Negative', 'the yellow filter': 'Negative', 'the watching experience': 'Negative'}",bug_report
no Chromecast option,3,2025-08-03 06:19:15,Google Play,NEGATIVE,-0.9994572997093201,['no chromecast option'],sadness,{'no chromecast option': 'Negative'},review
Im not happy with CEO Tim Cook donating $1 million to Trump. I will no longer be paying for this app.,1,2025-08-03 06:01:03,Google Play,NEGATIVE,-0.9997202754020691,"['ceo tim cook', 'this app']",sadness,"{'ceo tim cook': 'Negative', 'this app': 'Negative'}",review
best steaming app there is . movies and series are top shelf,5,2025-08-03 04:57:10,Google Play,POSITIVE,0.9976100921630859,"['best steaming app', 'movies', 'series', 'top shelf']",surprise,"{'best steaming app': 'Positive', 'movies': 'Positive', 'series': 'Positive', 'top shelf': 'Neutral'}",review
good 😀😀😀 day,5,2025-08-03 04:31:41,Google Play,POSITIVE,0.9998468160629272,[],joy,{},review
great movies and series,5,2025-08-03 03:29:38,Google Play,POSITIVE,0.9998354911804199,"['great movies', 'series']",joy,"{'great movies': 'Positive', 'series': 'Positive'}",review
"typical with most apple services, this app is built with shame. thanks apple. I will update to zero stars when Google allows it.",1,2025-08-03 03:18:40,Google Play,NEGATIVE,-0.9936222434043884,"['most apple services', 'this app', 'shame', 'thanks apple', 'zero stars', 'google']",neutral,"{'most apple services': 'Neutral', 'this app': 'Negative', 'shame': 'Negative', 'thanks apple': 'Positive', 'zero stars': 'Neutral', 'google': 'Negative'}",review
"I was really excited to download this app as I saw deadliest catch advertised as being free to watch on this platform. Once I got everything downloaded and set up, I find each episode must be either purchased separately for $1.99 each or you can purchase a season at a time for about fifteen bucks. Bait and switch much? Usually I forget to cancel these subscriptions that start you off with a free week, I canceled this one same day. Don't you people make enough money as it is?",1,2025-08-03 02:40:52,Google Play,NEGATIVE,-0.9983344674110413,"['this app', 'deadliest catch', 'this platform', 'each episode', 'a season', 'a time', 'about fifteen bucks', 'bait', 'these subscriptions', 'a free week', 'people', 'enough money']",neutral,"{'this app': 'Positive', 'deadliest catch': 'Neutral', 'this platform': 'Negative', 'each episode': 'Negative', 'a season': 'Negative', 'a time': 'Negative', 'about fifteen bucks': 'Negative', 'bait': 'Negative', 'these subscriptions': 'Negative', 'a free week': 'Neutral', 'people': 'Negative', 'enough money': 'Negative'}",review
"it works fine on my tv, Playstation and laptop, but I want to be able to watch my already bought and downloaded shows/movies on my andriod phone and i'm unable too. I need to listen to my three hour movie playing in the background on a road trip or watch my fav TV show when im out somewhere and don't want to be perceived.",1,2025-08-03 02:12:50,Google Play,NEGATIVE,-0.9792554974555969,"['my tv', 'playstation', 'laptop', 'shows/movies', 'my andriod phone', 'my three hour movie playing', 'the background', 'a road trip', 'my fav tv show']",sadness,"{'my tv': 'Positive', 'playstation': 'Neutral', 'laptop': 'Neutral', 'shows/movies': 'Neutral', 'my andriod phone': 'Negative', 'my three hour movie playing': 'Neutral', 'the background': 'Neutral', 'a road trip': 'Neutral', 'my fav tv show': 'Neutral'}",review
"Content Failed to Load. Try again. Every time I open the app. I also have to select ""Original English AD"" (Audio Description) every single episode, because Apple TV+ doesn't remember my audio settings from one episode to the next.",2,2025-08-03 00:57:50,Google Play,NEGATIVE,-0.9995926022529602,"['content', 'every time', 'the app', '""original english ad', 'audio description', 'every single episode', 'apple tv+', 'my audio settings', 'one episode']",sadness,"{'content': 'Negative', 'every time': 'Negative', 'the app': 'Negative', '""original english ad': 'Negative', 'audio description': 'Negative', 'every single episode': 'Negative', 'apple tv+': 'Negative', 'my audio settings': 'Negative', 'one episode': 'Negative'}",review
subscription went through for tv but not on phone with same account,1,2025-08-02 23:52:31,Google Play,NEGATIVE,-0.991692066192627,"['subscription', 'phone', 'same account']",neutral,"{'subscription': 'Positive', 'phone': 'Neutral', 'same account': 'Neutral'}",review
"I try to use it on android phones, but it is impossible to receive codes for authentication. it takes days if not weeks to get any help.",1,2025-08-02 22:50:33,Google Play,NEGATIVE,-0.9992913007736206,"['android phones', 'codes', 'authentication', 'days', 'any help']",sadness,"{'android phones': 'Neutral', 'codes': 'Negative', 'authentication': 'Negative', 'days': 'Negative', 'any help': 'Negative'}",review
can't access my library with this app. it's worthless.,1,2025-08-02 22:06:29,Google Play,NEGATIVE,-0.9998193383216858,"['my library', 'this app']",sadness,"{'my library': 'Negative', 'this app': 'Negative'}",review
great 👍,5,2025-08-02 21:56:04,Google Play,POSITIVE,0.9997692704200745,[],joy,{},review
not enough good stuff. Will get part way through a show and just stop for no reason. keeps asking for a review,2,2025-08-02 21:41:04,Google Play,NEGATIVE,-0.9998134970664978,"['not enough good stuff', 'part way', 'a show', 'no reason', 'a review']",sadness,"{'not enough good stuff': 'Negative', 'part way': 'Negative', 'a show': 'Negative', 'no reason': 'Negative', 'a review': 'Neutral'}",review
cant wait for the next episode,5,2025-08-02 20:07:01,Google Play,NEGATIVE,-0.9764972925186157,['the next episode'],neutral,{'the next episode': 'Positive'},review
High res sound not available. Real drawback at this price point,1,2025-08-02 19:58:35,Google Play,NEGATIVE,-0.9981812238693237,"['high res sound', 'real drawback', 'this price point']",sadness,"{'high res sound': 'Negative', 'real drawback': 'Negative', 'this price point': 'Negative'}",review
Excellent library of programmes - love it!,5,2025-08-02 16:39:06,Google Play,POSITIVE,0.9998831748962402,['programmes'],joy,{'programmes': 'Positive'},review
"I have paid my subscription for years, and your system won't let me play shows without paying again. I am ready to get out and discontinue paying.",1,2025-08-02 14:48:10,Google Play,NEGATIVE,-0.996632993221283,"['my subscription', 'years', 'your system', 'shows']",neutral,"{'my subscription': 'Negative', 'years': 'Negative', 'your system': 'Negative', 'shows': 'Neutral'}",review
Hangs frequently,1,2025-08-02 14:26:46,Google Play,NEGATIVE,-0.8919211030006409,[],neutral,{},review
"There are never ending issues with this app. Content is too dark, sometimes the screen even cycles through dark-bright modes continuously. The app never seems to remember the episode and position of the viewed content. Sometimes video freezes and only audio is played. Occasionally playback does not work at all - a second is played and it stops. The downloads section is abysmal - it downloads some episodes on random, but not all of the requested.",2,2025-08-02 13:47:56,Google Play,NEGATIVE,-0.9995841383934021,"['issues', 'this app', 'content', 'the screen', 'dark-bright modes', 'the app', 'the episode', 'position', 'the viewed content', 'video', 'only audio', 'occasionally playback', '- a second', 'the downloads section', 'some episodes']",disgust,"{'issues': 'Negative', 'this app': 'Negative', 'content': 'Negative', 'the screen': 'Negative', 'dark-bright modes': 'Negative', 'the app': 'Negative', 'the episode': 'Negative', 'position': 'Negative', 'the viewed content': 'Negative', 'video': 'Negative', 'only audio': 'Negative', 'occasionally playback': 'Negative', '- a second': 'Negative', 'the downloads section': 'Negative', 'some episodes': 'Negative'}",bug_report
It's absolutely horrible. My apple id is connected with my phone number. I can't log in with my phone number. I can't even long in on web browser it makes me log in multiple times and doesn't recognize my apple tv membership I just bought for a year. Fix this Apple stop stealing money.,1,2025-08-02 10:23:32,Google Play,NEGATIVE,-0.9996770620346069,"['my apple id', 'my phone number', 'my phone number', 'web browser', 'multiple times', 'my apple tv membership', 'a year', 'this apple', 'money']",fear,"{'my apple id': 'Negative', 'my phone number': 'Negative', 'web browser': 'Negative', 'multiple times': 'Negative', 'my apple tv membership': 'Negative', 'a year': 'Negative', 'this apple': 'Negative', 'money': 'Negative'}",bug_report
Too little too late. Years of neglecting development show off with many features half baked.,1,2025-08-02 10:17:05,Google Play,NEGATIVE,-0.9993890523910522,"['years', 'neglecting development', 'many features']",sadness,"{'years': 'Negative', 'neglecting development': 'Negative', 'many features': 'Negative'}",feature_request
This show is absolutely GOD TIER!!!,5,2025-08-02 09:41:50,Google Play,POSITIVE,0.9902338981628418,"['this show', 'god tier']",surprise,"{'this show': 'Positive', 'god tier': 'Positive'}",review
"great original, limited yes, but hell lot of fun",5,2025-08-02 09:31:32,Google Play,POSITIVE,0.9998481273651123,"['hell lot', 'fun']",joy,"{'hell lot': 'Positive', 'fun': 'Positive'}",review
No clear way to UNSUBSCRIBE easily !,2,2025-08-02 07:03:26,Google Play,NEGATIVE,-0.9997175335884094,['no clear way'],neutral,{'no clear way': 'Negative'},review
fantastic greatness phenomenal,5,2025-08-02 06:29:57,Google Play,POSITIVE,0.9998841285705566,['fantastic greatness'],joy,{'fantastic greatness': 'Positive'},review
very difficult to login,1,2025-08-02 06:26:02,Google Play,NEGATIVE,-0.999220609664917,[],sadness,{},review
"the screen won't rotate to landscape, the subtitles won't turn off",1,2025-08-02 05:32:20,Google Play,POSITIVE,0.9967888593673706,"['the screen', 'landscape', 'the subtitles']",neutral,"{'the screen': 'Negative', 'landscape': 'Negative', 'the subtitles': 'Negative'}",review
doest have access to my iTunes purchases,1,2025-08-02 05:17:33,Google Play,NEGATIVE,-0.9955456256866455,"['access', 'my itunes', 'purchases']",neutral,"{'access': 'Neutral', 'my itunes': 'Neutral', 'purchases': 'Neutral'}",review
will not play videos,1,2025-08-02 05:08:59,Google Play,NEGATIVE,-0.9894887804985046,['videos'],sadness,{'videos': 'Negative'},review
Very frustrating app not very user friendly not much variety.,1,2025-08-02 04:39:58,Google Play,NEGATIVE,-0.9997119307518005,"['very frustrating app', 'not much variety']",sadness,"{'very frustrating app': 'Negative', 'not much variety': 'Negative'}",review
horrible,1,2025-08-02 04:35:52,Google Play,NEGATIVE,-0.9997841715812683,[],fear,{},review
